element,a1,b1,a2,b2,a3,b3,a4,b4,c
H,0.49,20.66,0.26,7.74,0.20,49.55,0.05,2.20,0.00
H1-,0.90,53.14,0.57,15.19,0.42,186.58,0.12,3.57,0.00
He,0.87,9.10,0.63,3.36,0.31,22.93,0.18,0.98,0.01
Li,1.13,3.95,0.75,1.05,0.62,85.39,0.47,168.26,0.04
Li1+,0.70,4.62,0.79,1.96,0.34,0.63,0.16,10.10,0.02
Be,1.59,43.64,1.13,1.86,0.54,103.48,0.70,0.54,0.04
Be2+,6.26,0.00,0.88,0.83,0.80,2.28,0.16,5.11,-6.11
B,2.05,23.22,1.33,1.02,1.10,60.35,0.71,0.14,-0.19
C,2.31,20.84,1.02,10.21,1.59,0.57,0.87,51.65,0.22
Cval,2.26,22.69,1.56,0.66,1.05,9.76,0.84,55.59,0.29
N,12.21,0.01,3.13,9.89,2.01,29.00,1.17,0.58,-11.53
O,3.05,13.28,2.29,5.70,1.55,0.32,0.87,32.91,0.25
O1-,4.19,12.86,1.64,4.17,1.53,47.02,-20.31,-0.01,21.94
F,3.54,10.28,2.64,4.29,1.52,0.26,1.02,26.15,0.28
F1-,3.63,5.28,3.51,14.74,1.26,0.44,0.94,47.34,0.65
Ne,3.96,8.40,3.11,3.43,1.45,0.23,1.13,21.72,0.35
Na,4.76,3.29,3.17,8.84,1.27,0.31,1.11,129.42,0.68
Na1+,3.26,2.67,3.94,6.12,1.40,0.20,1.00,14.04,0.40
Mg,5.42,2.83,2.17,79.26,1.23,0.38,2.31,7.19,0.86
Mg2+,3.50,2.17,3.84,4.75,1.33,0.19,0.85,10.14,0.49
Al,6.42,3.04,1.90,0.74,1.59,31.55,1.96,85.09,1.12
Al3+,4.17,1.94,3.39,4.15,1.20,0.23,0.53,8.29,0.71
Si,6.29,2.44,3.04,32.33,1.99,0.68,1.54,81.69,1.14
Sival,5.66,2.67,3.07,38.66,2.62,0.92,1.39,93.55,1.25
Si4+,4.44,1.64,3.20,3.44,1.19,0.21,0.42,6.65,0.75
P,6.43,1.91,4.18,27.16,1.78,0.53,1.49,68.16,1.11
S,6.91,1.47,5.20,22.22,1.44,0.25,1.59,56.17,0.87
Cl,11.46,0.01,7.20,1.17,6.26,18.52,1.65,47.78,-9.56
Cl1-,18.29,0.01,7.21,1.17,6.53,19.54,2.34,60.45,-16.38
Ar,7.48,0.91,6.77,14.84,0.65,43.90,1.64,33.39,1.44
K,8.22,12.79,7.44,0.77,1.05,213.19,0.87,41.68,1.42
K1+,7.96,12.63,7.49,0.77,6.36,0.00,1.19,31.91,-5.00
Ca,8.63,10.44,7.39,0.66,1.59,85.75,1.02,178.44,1.38
Ca2+,15.63,-0.01,7.95,0.61,8.44,10.31,0.85,25.99,-14.88
Sc,9.19,9.02,7.37,0.57,1.64,136.11,1.47,51.35,1.33
Sc3+,13.40,0.30,8.03,7.96,1.66,-0.29,1.58,16.07,-6.67
Ti,9.76,7.85,7.36,0.50,1.70,35.63,1.90,116.11,1.28
Ti2+,9.11,7.52,7.62,0.46,2.28,19.54,0.09,61.66,0.90
Ti3+,17.73,0.22,8.74,7.05,5.26,-0.16,1.92,15.98,-14.65
Ti4+,19.51,0.18,8.23,6.67,2.01,-0.29,1.52,12.95,-13.28
V,10.30,6.87,7.35,0.44,2.07,26.89,2.06,102.48,1.22
V2+,10.11,6.88,7.35,0.44,2.29,20.30,0.02,115.12,1.23
V3+,9.43,6.40,7.74,0.38,2.15,15.19,0.02,63.97,0.66
V5+,15.69,0.68,8.14,5.40,2.03,9.97,-9.58,0.94,1.71
Cr,10.64,6.10,7.35,0.39,3.32,20.26,1.49,98.74,1.18
Cr2+,9.54,5.66,7.75,0.34,3.58,13.31,0.51,32.42,0.62
Cr3+,9.68,5.59,7.81,0.33,2.88,12.83,0.11,32.88,0.52
Mn,11.28,5.34,7.36,0.34,3.02,17.87,2.24,83.75,1.09
Mn2+,10.81,5.28,7.36,0.34,3.53,14.34,0.22,41.32,1.09
Mn3+,9.85,4.92,7.87,0.29,3.57,10.82,0.32,24.13,0.39
Mn4+,9.96,4.85,7.97,0.28,2.76,10.49,0.05,27.57,0.25
Fe,11.77,4.76,7.36,0.31,3.52,15.35,2.30,76.88,1.04
Fe2+,11.04,4.65,7.37,0.31,4.13,12.05,0.44,31.28,1.01
Fe3+,11.18,4.61,7.39,0.30,3.39,11.67,0.07,38.56,0.97
Co,12.28,4.28,7.34,0.28,4.00,13.54,2.35,71.17,1.01
